request_id	goal_id	seed_paper_id	traversal_paper_id	depth	direction	service	operation	normalized_identifier	parameters	requested_at_utc	page_cursor	response_status	result_count	response_checksum	cache_checksum	client_version	cache_status	attempt	retry_events	rate_limit_events	policy_url	policy_checked_date	cache_path	terminal_state
REQ-G03-0001	G03	PAPER-2511.07886	PAPER-2511.07886	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2511.07886	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2511.07886&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:48:37Z	NOT_APPLICABLE	200	0	ef05259ebc5c3b1db65e700406757fc99dfe6a2073edab1c45159c705e51d89a	ef05259ebc5c3b1db65e700406757fc99dfe6a2073edab1c45159c705e51d89a	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=999|reset=47483|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0001.json	EMPTY
REQ-G03-0002	G03	PAPER-2511.07886	PAPER-2511.07886	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2511.07886v1	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2511.07886v1&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:50:37Z	NOT_APPLICABLE	200	0	914cca3ed1b6794893ce92bd6f9ae15f550f4a421d3d88fa26256a30d5996b40	914cca3ed1b6794893ce92bd6f9ae15f550f4a421d3d88fa26256a30d5996b40	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=998|reset=47363|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0002.json	EMPTY
REQ-G03-0003	G03	PAPER-2511.07886	PAPER-2511.07886	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2511.07886%7CPAPER-2511.07886v1	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2511.07886%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F2511.07886v1&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:20Z	NOT_APPLICABLE	200	0	f4cb1828e6f952a58ea808ff08a51cf1113ecbe5886950334d369ef81a4d8220	f4cb1828e6f952a58ea808ff08a51cf1113ecbe5886950334d369ef81a4d8220	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=997|reset=47020|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0003.json	EMPTY
REQ-G03-0004	G03	PAPER-1905.04264	PAPER-1905.04264	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-1905.04264%7CPAPER-1905.04264v2	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F1905.04264%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F1905.04264v2&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:22Z	NOT_APPLICABLE	200	0	18ce2debfc1573462578a5b4bcd83f1881fe503df71a0e18a649942fb52246d7	18ce2debfc1573462578a5b4bcd83f1881fe503df71a0e18a649942fb52246d7	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=996|reset=47018|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0004.json	EMPTY
REQ-G03-0005	G03	PAPER-2507.12925	PAPER-2507.12925	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2507.12925%7CPAPER-2507.12925v1	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2507.12925%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F2507.12925v1&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:24Z	NOT_APPLICABLE	200	0	d4cc877be854fa615a690ac9c03617d2c2db8ebda5e8d052efdd7d2d2bcaa890	d4cc877be854fa615a690ac9c03617d2c2db8ebda5e8d052efdd7d2d2bcaa890	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=995|reset=47016|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0005.json	EMPTY
REQ-G03-0006	G03	PAPER-2010.09913	PAPER-2010.09913	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2010.09913%7CPAPER-2010.09913v2	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2010.09913%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F2010.09913v2&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:25Z	NOT_APPLICABLE	200	0	fac2c8e2f7e2cc2579667deba5d055133680a489fa6ced36d598b9637c0206d3	fac2c8e2f7e2cc2579667deba5d055133680a489fa6ced36d598b9637c0206d3	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=994|reset=47015|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0006.json	EMPTY
REQ-G03-0007	G03	PAPER-1709.07122	PAPER-1709.07122	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-1709.07122%7CPAPER-1709.07122v4	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F1709.07122%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F1709.07122v4&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:27Z	NOT_APPLICABLE	200	0	f2e7e1c0fbb10ae4126d7c25af5b2f1b02a0f3cd910c82f35ae33287140f3ecc	f2e7e1c0fbb10ae4126d7c25af5b2f1b02a0f3cd910c82f35ae33287140f3ecc	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=993|reset=47013|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0007.json	EMPTY
REQ-G03-0008	G03	PAPER-1602.02864	PAPER-1602.02864	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-1602.02864%7CPAPER-1602.02864v3	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F1602.02864%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F1602.02864v3&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:28Z	NOT_APPLICABLE	200	0	0092c882540be80d5a9b1d688c06a912e888017a735939d257204ff7479394c0	0092c882540be80d5a9b1d688c06a912e888017a735939d257204ff7479394c0	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=992|reset=47012|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0008.json	EMPTY
REQ-G03-0009	G03	PAPER-1812.10950	PAPER-1812.10950	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-1812.10950%7CPAPER-1812.10950v2	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F1812.10950%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F1812.10950v2&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:30Z	NOT_APPLICABLE	200	0	548dbd9fccb214a5a20229d8c36464c1d6dbe8e74fabd0c4d06f349c76fae20b	548dbd9fccb214a5a20229d8c36464c1d6dbe8e74fabd0c4d06f349c76fae20b	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=991|reset=47010|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0009.json	EMPTY
REQ-G03-0010	G03	PAPER-2404.16267	PAPER-2404.16267	0	SEED_RESOLUTION	OpenAlex	SEED_RESOLUTION	PAPER-2404.16267%7CPAPER-2404.16267v2	filter=locations.landing_page_url%3Ahttps%3A%2F%2Farxiv.org%2Fabs%2F2404.16267%7Chttps%3A%2F%2Farxiv.org%2Fabs%2F2404.16267v2&per_page=100&select=id%2Cdoi%2Cdisplay_name%2Cpublication_date%2Ctype%2Cauthorships%2Cids%2Clocations%2Creferenced_works%2Ccited_by_count%2Cis_retracted%2Cupdated_date	2026-08-11T10:56:31Z	NOT_APPLICABLE	200	0	bb07d4c9c5a6dd8228b17c945843de93693635070c869b4924fb16b7dfe65b0b	bb07d4c9c5a6dd8228b17c945843de93693635070c869b4924fb16b7dfe65b0b	knight-bus-g03-openalex/1.0	MISS	1	NONE	remaining=990|reset=47009|credits_used=1	https://developers.openalex.org/api-reference/authentication	2026-08-11	arxiv-reference/cache/g03/openalex/REQ-G03-0010.json	EMPTY
